Country,Quality of dataa,"± error, %",min ,mean,max,"Percentage of total Hg
applied in concentrate
amalgamation, %CA","Percentage of total Hg applied in whole ore amalgamation, %WOA","Emission Factor, EF EFCA=75% (1/1.3) EFWOA= 20% (1/5)","Year of most
recent data","Mean air emission, t","Release to
water and
land, t"
Eritrea,1,100,0.1,0.3,0.5,100,0,0.75,2017,0.2,0.1
Ethiopia,1,100,0.1,0.3,0.5,100,0,0.75,2010,0.2,0.1
Gabon,1,100,0.1,0.3,0.5,100,0,0.75,2010,0.2,0.1
Gambia,1,100,0.1,0.3,0.5,100,0,0.75,1996,0.2,0.1
Guinea-Bissau,1,100,0.1,0.3,0.5,100,0,0.75,2002,0.2,0.1
Iran (Islamic Republic of),1,100,0.1,0.3,0.5,100,0,0.75,,0.2,0.1
Kazakhstan,1,100,0.1,0.3,0.5,100,0,0.75,,0.2,0.1
Lesotho,1,100,0.1,0.3,0.5,100,0,0.75,2016,0.2,0.1
Liberia,1,100,0.1,0.3,0.5,100,0,0.75,2003,0.2,0.1
Malawi,1,100,0.1,0.3,0.5,100,0,0.75,2001,0.2,0.1
Mauritania,1,100,0.1,0.3,0.5,100,0,0.75,2004,0.2,0.1
Niger,1,100,0.1,0.3,0.5,100,0,0.75,2000,0.2,0.1
Paraguay,1,100,0.1,0.3,0.5,100,0,0.75,2012,0.2,0.1
Rwanda,1,100,0.1,0.3,0.5,100,0,0.75,1992,0.2,0.1
Eswatini,1,100,0.1,0.3,0.5,100,0,0.75,2017,0.2,0.1
Ukraine,1,100,0.1,0.3,0.5,100,0,0.75,,0.2,0.1
Uzbekistan,1,100,0.1,0.3,0.5,100,0,0.75,2001,0.2,0.1
Zambia,1,100,0.1,0.3,0.5,100,0,0.75,2008,0.2,0.1
